"question","answer"
"What is the capital of the United States?","The capital of the United States is Washington, D.C."
"What is the largest planet in our solar system?","The largest planet in our solar system is Jupiter."
"Who wrote 'To Kill a Mockingbird'?","'To Kill a Mockingbird' was written by Harper Lee."
"What is the tallest mountain on Earth?","The tallest mountain on Earth is Mount Everest."
"What is the chemical symbol for gold?","The chemical symbol for gold is Au."
"How many continents are there?","There are seven continents: Africa, Antarctica, Asia, Europe, North America, Australia, and South America."
"Who painted the Mona Lisa?","The Mona Lisa was painted by Leonardo da Vinci."
"What is the largest ocean on Earth?","The largest ocean on Earth is the Pacific Ocean."
"What year did World War II end?","World War II ended in 1945."
"Who was the first President of the United States?","The first President of the United States was George Washington."
"What is the longest river in the world?","The longest river in the world is the Nile River."
"What is the main ingredient in guacamole?","The main ingredient in guacamole is avocado."
"What is the smallest country in the world?","The smallest country in the world is Vatican City."
"Who discovered gravity?","Gravity was discovered by Sir Isaac Newton."
"What is the fastest land animal?","The fastest land animal is the cheetah."
"What is the square root of 64?","The square root of 64 is 8."
"What is the freezing point of water?","The freezing point of water is 0°C (32°F)."
"Which planet is known as the Red Planet?","Mars is known as the Red Planet."
"Who invented the telephone?","The telephone was invented by Alexander Graham Bell."
"What is the currency of Japan?","The currency of Japan is the Yen."
"What is the tallest building in the world?","The tallest building in the world is the Burj Khalifa in Dubai."
"Who is the author of the Harry Potter series?","The author of the Harry Potter series is J.K. Rowling."
"What is the boiling point of water?","The boiling point of water is 100°C (212°F)."
"What is the national animal of Australia?","The national animal of Australia is the kangaroo."
"What is the currency of the United Kingdom?","The currency of the United Kingdom is the Pound Sterling."
"What is the fastest bird in the world?","The fastest bird in the world is the Peregrine Falcon."
"What is the longest bone in the human body?","The longest bone in the human body is the femur."
